monarchrunid,monarchlocationid,behaviorclassification,duration,locationn,locatione,surface,landcoverclassification
17218a,17218a02,fly,0:00:03,na,na,air,sod
17218a,17218a03,fly,0:00:01,4668606.657,613121.213,air,sod
17219a,17219a01,release,0:10:00,4668591.425,613089.56,vegetative wild bergamot,sod
17230a,17230a01,release,0:00:45,4668591.425,613089.56,vegetative wild bergamot,sod
17230a,17230a02,fly,0:00:03,na,na,air,sod
17230a,17230a03,rest,0:00:45,4668611.118,613094.116,grass,sod
17230a,17230a04,fly,0:00:03,na,na,air,sod
17230a,17230a05,fly,0:00:01,4668897.901,613184.445,air - cross edge,edge
17234a,17234a01,release,0:12:00,4668702.366,613141.14,vegetative wild bergamot,sod
17235a,17235a01,release,0:00:30,4668702.366,613141.14,vegetative wild bergamot,sod
17235a,17235a02,fly,0:00:03,na,na,air,sod
17235a,17235a03,rest,0:01:00,4668701.279,613142.593,grass,sod
17235a,17235a04,fly,0:00:03,na,na,air,sod
17235a,17235a05,rest,0:00:30,4668699.99,613143.834,grass,sod
17235a,17235a06,fly,0:00:03,na,na,air,sod
17235a,17235a07,rest,0:00:30,4668698.759,613146.127,grass,sod
17235a,17235a08,fly,0:00:03,na,na,air,sod
17235a,17235a09,rest,0:00:40,4668695.658,613146.577,grass,sod
17235a,17235a10,fly,0:00:03,na,na,air,sod
17235a,17235a11,rest,0:00:30,4668693.507,613148.849,grass,sod
17235a,17235a12,fly,0:00:03,na,na,air,sod
17235a,17235a13,rest,0:00:45,4668690.74,613150.82,grass,sod
17235a,17235a14,fly,0:00:03,na,na,air,sod
17235a,17235a15,rest,0:00:45,4668685.436,613152.365,grass,sod
17235a,17235a16,fly,0:00:03,na,na,air,sod
17235a,17235a17,rest,0:00:30,4668679.269,613154.215,grass,sod
17237a,17237a01,release,0:00:20,4668702.366,613141.14,vegetative wild bergamot,sod
17237a,17237a02,fly,0:00:03,na,na,air,sod
17237a,17237a03,rest,0:10:00,4668700.85,613141.48,grass,sod
17244a,17244a01,release,0:00:03,4668690.674,613158.255,vegetative wild bergamot,sod
17244a,17244a02,fly,0:00:03,na,na,air,sod
17244a,17244a03,rest,0:02:30,4668696.02,613154.348,grass,sod
17246a,17246a01,release,0:06:00,4668702.366,613141.14,vegetative wild bergamot,sod
17246a,17246a02,fly,0:00:03,na,na,air,sod
17246a,17246a03,rest,0:00:01,4668683.051,613139.93,grass,sod
17247a,17247a01,release,0:00:10,4668702.366,613141.14,vegetative wild bergamot,sod
17247a,17247a02,fly,0:00:25,na,na,air,sod
17247a,17247a03,fly,0:00:01,4668605.411,613136.55,air,sod
17248a,17248a01,release,0:10:00,4668690.674,613158.255,vegetative wild bergamot,sod
17251a,17251a01,release,0:01:00,4668702.366,613141.14,vegetative wild bergamot,sod
17251a,17251a02,fly,0:00:03,na,na,air,sod
17251a,17251a03,rest,0:00:01,4668691.441,613140.64,grass,sod
17253a,17253a01,release,0:00:10,4668690.674,613158.255,vegetative wild bergamot,sod
17253a,17253a02,fly,0:01:35,na,na,air,sod
17253a,17253a03,fly,0:00:01,4668892.729,613064.097,air - cross edge,edge
17254a,17254a01,release,0:00:15,4668690.674,613158.255,vegetative wild bergamot,sod
17254a,17254a02,fly,0:00:13,na,na,air,sod
17254a,17254a03,rest,0:00:01,4668703.801,613143.91,grass,sod
17261a,17261a01,release,0:00:10,4668690.674,613158.255,vegetative wild bergamot,sod
17261a,17261a02,fly,0:00:03,na,na,air,sod
17261a,17261a03,rest,0:00:10,4668690.65,613156.017,grass,sod
17261a,17261a04,fly,0:00:03,na,na,air,sod
17261a,17261a05,rest,0:00:10,4668691.71,613154.515,grass,sod
17261a,17261a06,fly,0:00:03,na,na,air,sod
17261a,17261a07,rest,0:02:15,4668693.732,613146.785,grass,sod
17261a,17261a08,fly,0:00:03,na,na,air,sod
17261a,17261a09,rest,0:01:00,4668697.271,613147.272,grass,sod
17261a,17261a10,fly,0:00:03,na,na,air,sod
17261a,17261a11,rest,0:00:01,4668707.421,613143.737,grass,sod
17262a,17262a01,release,0:00:13,4668690.674,613158.255,vegetative wild bergamot,sod
17262a,17262a02,fly,0:00:03,na,na,air,sod
17262a,17262a03,rest,0:10:00,4668689.996,613157.274,grass,sod
17283a,17283a01,release,0:00:10,4668668.56,613167.033,vegetative wild bergamot,sod
17283a,17283a02,fly,0:02:00,na,na,air,na
17283a,17283a03,fly,0:00:01,4668892.367,612601.224,air - cross edge,edge
17284a,17284a01,release,0:01:20,4668668.56,613167.033,vegetative wild bergamot,sod
17284a,17284a02,fly,0:00:03,na,na,air,sod
17284a,17284a03,rest,0:08:30,4668667.494,613166.666,grass,sod
17285a,17291a01,release,0:10:00,4668668.56,613167.033,vegetative wild bergamot,sod
17291a,17291a01,release,0:00:35,4668668.56,613167.033,vegetative wild bergamot,sod
17291a,17291a02,fly,0:00:08,na,na,air,sod
17291a,17291a03,rest,0:00:01,4668671.39,613149.825,grass,sod
18037a,18037a01,release,0:36:00,4622511.176,434075.683,vegetative blazing star,sod
18040a,18040a01,release,0:10:00,4622511.176,434075.683,vegetative blazing star,sod
18040a,18040a02,fly,0:00:03,na,na,air,sod
18040a,18040a03,rest,0:01:00,4622505.596,434075.619,grass,sod
18040a,18040a04,fly,0:00:03,na,na,air,sod
18040a,18040a05,rest,0:01:00,4622509.614,434071.646,grass,sod
18040a,18040a06,fly,0:00:03,na,na,air,sod
18040a,18040a07,rest,0:10:00,4622512.925,434067.474,grass,sod
18075a,18075a01,release,0:07:39,4667950.839,612175.275,vegetative blazing star,sod
18075a,18075a02,fly,0:00:03,na,na,air,sod
18075a,18075a03,rest,0:01:00,4667979.012,612201.5,grass,sod
18075a,18075a04,fly,0:00:01,na,na,air,sod
18075a,18075a05,fly,0:00:01,4668012.666,612245.915,air,sod
18078a,18078a01,release,0:01:00,4622511.176,434075.683,vegetative blazing star,sod
18078a,18078a02,fly,0:00:03,na,na,air,sod
18078a,18078a03,rest,0:01:00,4622512.936,434074.172,grass ,sod
18078a,18078a04,fly,0:00:03,na,na,air,sod
18078a,18078a05,rest,0:01:00,4622518.43,434072.005,grass ,sod
18078a,18078a06,fly,0:00:03,na,na,air,sod
18078a,18078a07,rest,0:01:00,4622526.747,434063.715,grass berm,edge
18081a,18081a01,release,0:03:00,4622511.176,434075.683,vegetative blazing star,sod
18081a,18081a02,fly,0:00:03,na,na,air,sod
18081a,18081a03,rest,0:00:40,4622511.839,434075.168,grass ,sod
18081a,18081a04,fly,0:00:01,na,na,air,sod
18081a,18081a05,rest,0:00:40,4622511.94,434072.633,grass ,sod
18081a,18081a06,fly,0:00:01,na,na,air,sod
18081a,18081a07,rest,0:00:40,4622513.233,434070.049,grass ,sod
18081a,18081a08,fly,0:00:01,na,na,air,sod
18081a,18081a09,rest,0:00:40,4622510.336,434069.339,grass ,sod
18081a,18081a10,fly,0:00:01,na,na,air,sod
18081a,18081a11,rest,0:00:40,4622509.72,434067.033,grass ,sod
18081a,18081a12,fly,0:00:01,na,na,air,sod
18081a,18081a13,rest,0:00:40,4622507.941,434064.452,grass ,sod
18081a,18081a14,fly,0:00:01,na,na,air,sod
18081a,18081a15,rest,0:01:00,4622502.845,434056.946,grass ,sod
18081a,18081a16,fly,0:00:01,na,na,air,sod
18081a,18081a17,rest,0:02:00,4622504.715,434058.951,grass berm,edge
18081a,18081a18,fly,0:00:01,na,na,grass berm,edge
18081a,18081a19,rest,0:08:00,4622493.63,434052.72,grass berm,edge
18082a,18082a01,release,0:00:10,4622484.497,434078.987,vegetative blazing star,sod
18082a,18082a02,fly,0:00:01,na,na,air,sod
18082a,18082a03,rest,0:03:00,4622487.123,434074.816,grass,sod
18082a,18082a04,fly,0:00:03,na,na,air,sod
18082a,18082a05,rest,0:01:00,4622492.373,434064.356,grass,sod
18082a,18082a06,fly,0:00:03,na,na,air,edge
18082a,18082a07,rest,0:01:30,4622507.51,434059.129,grass berm,edge
18082a,18082a08,fly,0:00:01,na,na,air,edge
18082a,18082a09,rest,0:01:30,4622508.106,434056.636,grass berm,edge
18082a,18082a10,fly,0:00:03,na,na,air,sod
18082a,18082a11,rest,0:01:00,4622515.558,434051.436,grass,sod
18082a,18082a12,fly,0:00:03,na,na,air,sod
18082a,18082a13,fly,0:00:01,4622521.595,434036.204,air,sod
18084a,18084a01,rest,0:00:03,4622484.497,434078.987,vegetative blazing star,sod
18084a,18084a02,fly,0:00:01,na,na,air,sod
18084a,18084a03,rest,0:10:00,4622485.65,434074.841,grass,sod
18084a,18084a04,fly,0:00:03,na,na,air,na
18084a,18084a05,fly,0:00:01,4622522.755,434035.964,air,sod
18085a,18085a01,release,0:00:03,4622484.497,434078.987,vegetative blazing star,sod
18085a,18085a02,fly,0:00:01,na,na,air,sod
18085a,18085a03,rest,0:10:00,4622488.174,434077.859,grass,sod
18085a,18085a04,fly,0:00:03,na,na,air,na
18085a,18085a05,rest,0:09:00,4622492.302,434062.005,grass berm,edge
18085a,18085a06,fly,0:00:03,na,na,air,na
18085a,18085a07,rest,0:00:01,4622506.891,434053.108,grass,sod
18086a,18086a01,release,0:03:00,4667950.839,612175.275,vegetative blazing star,sod
18086a,18086a02,fly,0:00:01,na,na,air,sod
18086a,18086a03,rest,0:00:15,4667949.255,612173.404,grass,sod
18086a,18086a04,fly,0:00:01,na,na,air,sod
18086a,18086a05,rest,0:00:15,4667948.092,612172.438,grass,sod
18086a,18086a06,fly,0:00:01,na,na,air,sod
18086a,18086a07,rest,0:01:30,4667950.783,612175.514,grass,sod
18086a,18086a08,fly,0:00:01,na,na,air,sod
18086a,18086a09,rest,0:08:00,4667947.475,612177.906,grass,sod
18086a,18086a10,fly,0:00:03,na,na,air,sod
18086a,18086a11,rest,0:03:30,4667951.701,612183.909,grass,sod
18086a,18086a12,fly,0:00:01,na,na,air,sod
18086a,18086a13,rest,0:02:00,4667951.176,612180.861,grass,sod
18086a,18086a14,fly,0:00:03,na,na,air,sod
18086a,18086a15,rest,0:01:00,4667951.145,612175.451,grass,sod
18086a,18086a16,fly,0:00:03,na,na,air,sod
18086a,18086a17,rest,0:00:01,4668010.425,612200.809,grass,sod
18087a,18087a01,release,0:15:00,4667950.839,612175.275,vegetative blazing star,sod
18087b,18087b01,release,0:08:54,4622514.661,434082.993,vegetative blazing star,sod
18087b,18087b02,fly,0:00:30,na,na,air,sod
18087b,18087b03,fly,0:00:01,4622508.773,434082.333,air,sod
18087b,18087b04,fly,0:00:30,na,na,air,sod
18087b,18087b05,fly,0:00:30,4622512.59,434074.989,grass,sod
18087b,18087b06,fly,0:00:07,na,na,air,sod
18087b,18087b07,fly,0:00:01,4622505.839,434075.342,air,sod
18087b,18087b08,fly,0:00:07,na,na,air,sod
18087b,18087b09,fly,0:00:01,4622496.924,434079.076,air,sod
18087b,18087b10,fly,0:00:07,na,na,air,sod
18087b,18087b11,fly,0:00:01,4622492.725,434077.194,air,sod
18087b,18087b12,fly,0:00:07,na,na,air,sod
18087b,18087b13,fly,0:00:01,4622493.224,434081.98,air,sod
18087b,18087b14,fly,0:00:07,na,na,air,sod
18087b,18087b15,rest,0:00:01,4622496.739,434074.935,grass,sod
18087b,18087b16,fly,0:00:07,na,na,air,sod
18087b,18087b17,fly,0:00:01,4622495.223,434073.768,air,sod
18087b,18087b18,fly,0:00:07,na,na,air,sod
18087b,18087b19,fly,0:00:01,4622498.352,434070.451,grass,sod
18087b,18087b20,fly,0:00:07,na,na,air,na
18087b,18087b21,rest,0:00:01,4622497.961,434066.167,grass,sod
18090a,18090a01,release,0:15:00,4667951.14,612175.438,vegetative blazing star,sod
18093a,18090a01,release,0:25:00,4667951.14,612175.438,vegetative blazing star,sod
18090b,18090b01,release,0:15:00,4622514.661,434082.993,vegetative blazing star,sod
18091a,18091a01,release,0:08:00,4667951.14,612175.438,vegetative blazing star,sod
18091a,18091a02,fly,0:00:01,na,na,air,sod
18091a,18091a03,rest,0:09:00,4667953.668,612173.651,grass,sod
18091a,18091a04,fly,0:00:01,na,na,air,sod
18091a,18091a05,rest,0:00:20,4667957.051,612167.926,grass,sod
18091a,18091a06,fly,0:00:01,na,na,air,sod
18091a,18091a07,rest,0:00:20,4667967.075,612162.241,grass,sod
18091a,18091a08,fly,0:00:01,na,na,air,sod
18091a,18091a09,rest,0:00:20,4667980.458,612156.185,grass,sod
18091a,18091a10,fly,0:00:01,na,na,air,sod
18091a,18091a11,rest,0:00:20,4667985.817,612150.728,grass,sod
18091a,18091a12,fly,0:00:03,na,na,air,sod
18091a,18091a13,rest,0:00:01,4668023.773,612133.57,grass,sod
18091b,18091b01,release,0:15:00,4622514.661,434082.993,vegetative blazing star,sod
18093b,18093b01,release,0:15:00,4622514.661,434082.993,vegetative blazing star,sod
18094a,18094a01,release,0:00:10,4622514.661,434082.993,vegetative blazing star,sod
18094a,18094a02,fly,0:01:30,na,na,air,na
18094a,18094a03,fly,0:00:01,4622538.407,434067.798,air,edge
18094a,18094a04,fly,0:01:30,na,na,air,na
18094a,18094a05,fly,0:00:01,4622562.152,434136.988,air,sod
18094a,18094a06,fly,0:01:30,na,na,air,na
18094a,18094a07,fly,0:00:01,4622611.855,434184.549,air,sod
18094a,18094a08,fly,0:01:30,na,na,air,na
18094a,18094a09,fly,0:00:01,4622646.406,434208.971,air - lost,na
18095a,18095a01,release,0:15:00,4622514.661,434082.993,vegetative blazing star,sod
18095a,18095a02,fly,0:00:30,na,na,air,sod
18095a,18095a03,fly,0:00:01,4622518.78,434088.038,air,sod
18095a,18095a04,fly,0:00:30,na,na,air,sod
18095a,18095a05,rest,0:00:01,4622520.628,434102.276,grass berm,edge
18096a,18096a01,release,0:02:00,4622514.661,434082.993,vegetative blazing star,sod
18096a,18096a02,fly,0:00:30,na,na,air,sod
18096a,18096a03,fly,0:00:01,4622507.617,434089.627,air,sod
18096a,18096a04,fly,0:00:30,na,na,air,sod
18096a,18096a05,fly,0:00:01,4622500.636,434076.979,air,sod
18096a,18096a06,fly,0:00:30,na,na,air,sod
18096a,18096a07,rest,0:00:01,4622492.876,434059.753,grass berm,edge
18096a,18096a08,fly,0:00:30,na,na,air,sod
18096a,18096a09,fly,0:00:01,4622478.375,434038.14,air,sod
18096a,18096a10,fly,0:00:30,na,na,air,sod
18096a,18096a11,fly,0:00:01,4622440.984,434048.231,air,sod
18096a,18096a12,fly,0:00:30,na,na,air,sod
18096a,18096a13,fly,0:00:01,4622413.809,434038.811,air,sod
18096a,18096a14,fly,0:00:30,na,na,air,sod
18096a,18096a15,fly,0:00:01,4622402.998,434009.479,air,sod
18096a,18096a16,fly,0:00:30,na,na,air,sod
18096a,18096a17,fly,0:00:01,4622364.781,433945.18,tree,edge
18097a,18097a01,release,0:13:00,4622514.661,434082.993,vegetative blazing star,sod
18097a,18097a02,fly,0:00:30,na,na,air,sod
18097a,18097a03,fly,0:00:01,4622537.201,434084.835,air,sod
18097a,18097a04,fly,0:00:30,na,na,air,sod
18097a,18097a05,fly,0:00:01,4622540.434,434072.223,air,edge
18097a,18097a06,fly,0:00:30,na,na,air,edge
18097a,18097a07,fly,0:00:01,4622556.917,434069.653,air,edge
18097a,18097a08,fly,0:00:30,na,na,air,edge
18097a,18097a09,fly,0:00:01,4622577.449,434076.215,air,edge
18098a,18098a01,release,0:01:00,4622514.661,434082.993,vegetative blazing star,sod
18098a,18098a02,fly,0:00:01,na,na,air,sod
18098a,18098a03,rest,0:01:00,4622513.213,434086.53,grass,sod
18098a,18098a04,fly,0:00:01,na,na,air,sod
18098a,18098a05,rest,0:00:20,4622511.401,434086.393,grass,sod
18098a,18098a06,fly,0:00:01,na,na,air,sod
18098a,18098a07,rest,0:00:20,4622508.198,434086.261,grass,sod
18098a,18098a08,fly,0:00:30,na,na,air,sod
18098a,18098a09,rest,0:00:30,4622507.783,434088.108,grass,sod
18098a,18098a10,fly,0:00:01,na,na,air,sod
18098a,18098a11,rest,0:00:30,4622548.598,434098.346,grass berm,edge
18098a,18098a12,fly,0:00:01,na,na,air,edge
18098a,18098a13,rest,0:00:30,4622547.172,434101.737,grass berm,edge
18098a,18098a14,fly,0:00:10,na,na,air,edge
18098a,18098a15,rest,0:00:30,4622546.8,434104.847,grass berm,edge
18098a,18098a16,fly,0:00:10,na,na,air,edge
18098a,18098a17,rest,0:00:30,4622575.808,434115.881,grass,sod
18098a,18098a18,fly,0:00:10,na,na,air,sod
18098a,18098a19,rest,0:00:30,4622616.677,434117.882,grass,sod
18098a,18098a20,fly,0:00:10,na,na,air,sod
18098a,18098a21,fly,0:00:01,4622665.849,434097.73,air,sod
18099a,18099a01,release,0:00:20,4622514.661,434082.993,vegetative blazing star,sod
18099a,18099a02,fly,0:00:20,na,na,air,sod
18099a,18099a03,fly,0:00:01,4622534.763,434067.311,air,sod
18099a,18099a04,fly,0:00:20,na,na,air,na
18099a,18099a05,fly,0:00:01,4622547.563,434039.226,air,sod
18099a,18099a06,fly,0:00:20,na,na,air,sod
18099a,18099a07,fly,0:00:01,4622531.702,434001.18,air,sod
18099a,18099a08,fly,0:00:20,na,na,air,na
18099a,18099a09,fly,0:00:01,4622518.807,433959.746,air,sod
18099a,18099a10,fly,0:00:20,na,na,air,sod
18099a,18099a11,fly,0:00:01,4622519.44,433925.809,air,edge
18100a,18100a01,release,0:15:00,4667945.268,612170.257,vegetative blazing star,sod
18105a,18105a01,release,0:25:00,4667945.268,612170.257,vegetative blazing star,sod
18105b,18105b01,release,0:03:23,4667945.319,612176.17,vegetative blazing star,sod
18105b,18105b02,fly,0:00:01,na,na,air,sod
18105b,18105b03,rest,0:00:12,4667953.105,612179.683,grass,sod
18105b,18105b04,fly,0:00:01,na,na,air,sod
18105b,18105b05,rest,0:00:12,4667957.024,612180.369,grass,sod
18105b,18105b06,fly,0:00:01,na,na,air,sod
18105b,18105b07,rest,0:03:00,4667967.57,612183.798,grass,sod
18105b,18105b08,fly,0:00:17,na,na,air,sod
18105b,18105b09,rest,0:02:00,4667974.728,612189.214,grass,sod
18105b,18105b10,fly,0:00:03,na,na,air,sod
18105b,18105b11,rest,0:06:00,4667986.624,612200.162,grass,sod
18106a,18106a01,release,0:15:00,4667945.268,612170.257,vegetative blazing star,sod
18106b,18106b01,release,0:00:37,4667945.319,612176.17,vegetative blazing star,sod
18106b,18106b02,fly,0:00:01,na,na,air,sod
18106b,18106b03,rest,0:01:00,4667945.607,612176.149,grass,sod
18106b,18106b04,fly,0:00:01,na,na,air,sod
18106b,18106b05,rest,0:00:26,4667948.536,612173.513,grass,sod
18106b,18106b06,fly,0:00:01,na,na,air,sod
18106b,18106b07,rest,0:00:11,4667953.756,612172.846,grass,sod
18106b,18106b08,fly,0:00:01,na,na,air,sod
18106b,18106b09,rest,0:00:46,4667957.75,612173.939,grass,sod
18106b,18106b10,fly,0:00:01,na,na,air,sod
18106b,18106b11,rest,0:00:33,4667960.575,612172.582,grass,sod
18106b,18106b12,fly,0:00:01,na,na,air,sod
18106b,18106b13,rest,0:01:09,4667960.079,612168.535,grass,sod
18106b,18106b14,fly,0:00:03,na,na,air,sod
18106b,18106b15,rest,0:01:00,4667977.934,612143.685,grass,sod
18106b,18106b16,fly,0:00:03,na,na,air,sod
18106b,18106b17,fly,0:00:01,4668001.858,612129.317,air,sod
18111a,18111a01,release,0:00:05,4667945.268,612170.257,vegetative blazing star,sod
18111a,18111a02,fly,0:00:03,na,na,air,sod
18111a,18111a03,rest,0:00:01,4667995.413,612157.901,grass,sod
18111b,18111b01,release,0:01:30,4667945.268,612170.257,vegetative blazing star,sod
18111b,18111b02,fly,0:00:03,na,na,air,sod
18111b,18111b03,fly,0:00:01,4667952.529,612160.288,air,sod
18111c,18111c01,release,0:03:00,4667945.268,612170.257,vegetative blazing star,sod
18111c,18111c02,fly,0:00:03,na,na,air,sod
18111c,18111c03,fly,0:00:01,4667982.061,612168.087,air,sod
18113a,18113a01,release,0:01:50,4667945.319,612176.17,vegetative blazing star,sod
18113a,18113a02,fly,0:02:00,na,na,air,sod
18113a,18113a03,fly,0:00:01,4667979.83,612163.206,air,sod
18113a,18113a04,fly,0:02:00,na,na,air,sod
18113a,18113a05,fly,0:00:01,4667990.845,612179.705,air,sod
18113b,18113b01,release,0:10:00,4667945.319,612176.17,vegetative blazing star,sod
18113b,18113b02,fly,0:00:20,na,na,air,sod
18113b,18113b03,fly,0:00:01,4667953.234,612227.788,air,sod
18113b,18113b04,fly,0:00:20,na,na,air,sod
18113b,18113b05,fly,0:00:01,4667949.936,612225.437,air,sod
18118a,18118a01,release,0:01:40,4667945.268,612170.257,vegetative blazing star,sod
18118a,18118a02,fly,0:00:03,na,na,air,sod
18118a,18118a03,fly,0:00:01,4667960.64,612090.339,air,sod
18119a,18119a01,release,0:10:00,4667945.319,612176.17,vegetative blazing star,sod
18121a,18121a01,release,0:12:50,4667945.319,612176.17,vegetative blazing star,sod
18121a,18121a02,fly,0:00:03,na,na,air,sod
18121a,18121a03,rest,0:07:00,4667945.844,612175.116,grass,sod
18122a,18122a01,release,0:01:10,4667945.319,612176.17,vegetative blazing star,sod
18122a,18122a02,fly,0:00:03,na,na,air,sod
18122a,18122a03,rest,0:02:00,4667945.324,612175.616,grass,sod
18122a,18122a04,fly,0:00:03,na,na,air,sod
18122a,18122a05,rest,0:12:00,4667947.351,612176.645,grass,sod
18123a,18123a01,release,0:09:00,4667945.319,612176.17,vegetative blazing star,sod
18123a,18123a02,fly,0:00:30,na,na,air,sod
18123a,18123a03,fly,0:00:01,4668079.212,612107.32,air - cross edge,edge
18123a,18123a04,fly,0:00:30,na,na,air,soy
18123a,18123a05,fly,0:00:01,4668125.48,612091.143,air - lost,soy
18124a,18124a01,release,0:15:00,4622500.413,434078.607,vegetative blazing star,sod
18125a,18125a01,release,0:00:45,4622502.952,434077.732,vegetative blazing star,sod
18125a,18125a02,fly,0:00:03,na,na,air,sod
18125a,18125a03,rest,0:01:15,4622522.517,434079.244,grass,sod
18125a,18125a04,fly,0:00:03,na,na,air,sod
18125a,18125a05,rest,0:01:00,4622529.001,434080.234,grass,sod
18125a,18125a06,fly,0:00:03,na,na,air,sod
18125a,18125a07,rest,0:00:01,4622541.487,434084.185,grass,sod
18126a,18126a01,release,0:00:44,4622500.413,434078.607,vegetative blazing star,sod
18126a,18126a02,fly,0:00:03,na,na,air,sod
18126a,18126a03,rest,0:01:00,4622502.085,434077.835,grass,sod
18126a,18126a04,fly,0:00:03,na,na,air,sod
18126a,18126a05,rest,0:00:50,4622505.319,434077.702,grass,sod
18126a,18126a06,fly,0:00:03,na,na,air,sod
18126a,18126a07,rest,0:03:30,4622506.568,434078.388,grass,sod
18126a,18126a08,fly,0:00:03,na,na,air,sod
18126a,18126a09,rest,0:02:15,4622510.639,434077.387,grass,sod
18127a,18127a01,release,0:15:00,4622502.952,434077.732,vegetative blazing star,sod
18128a,18128a01,release,0:01:25,4622500.413,434078.607,vegetative blazing star,sod
18128a,18128a02,fly,0:00:03,na,na,air,sod
18128a,18128a03,rest,0:01:15,4622498.133,434076.363,grass,sod
18128a,18128a04,fly,0:00:25,na,na,air,sod
18128a,18128a05,fly,0:00:01,4622473.475,434095.732,air,sod
18129a,18129a01,release,0:00:10,4622502.952,434077.732,vegetative blazing star,sod
18129a,18129a02,fly,0:00:03,na,na,air,sod
18129a,18129a03,rest,0:01:30,4622503.147,434075.254,grass,sod
18129a,18129a04,fly,0:01:30,na,na,air,sod
